employee_id,department,job_role,gender,age,years_at_company,monthly_salary,annual_salary,performance_rating,work_life_balance,overtime,training_hours,job_satisfaction,distance_from_home_km,attrition
EMP-30001,Engineering,Software Engineer,Female,36,1,5823,69878,2,2,Yes,33,4,35,Yes
EMP-30002,Product,Product Manager,Male,48,12,10455,125466,3,3,No,25,4,27,No
EMP-30003,Product,UX Designer,Male,41,11,13431,161175,3,3,Yes,43,5,7,Yes
EMP-30004,Finance,Controller,Female,43,5,4351,52218,3,3,Yes,6,4,7,No
EMP-30005,Product,UX Designer,Non-Binary,46,23,10476,125721,2,1,Yes,15,3,9,No
EMP-30006,Engineering,Engineering Lead,Non-Binary,31,7,12752,153033,3,1,Yes,45,4,23,No
EMP-30007,Human Resources,HR Generalist,Non-Binary,46,20,9959,119511,4,4,Yes,38,2,41,Yes
EMP-30008,Finance,Controller,Male,22,1,7521,90254,3,1,No,36,2,9,Yes
EMP-30009,Human Resources,HR Generalist,Non-Binary,34,3,5342,64106,1,4,No,59,3,36,No
EMP-30010,Human Resources,People Partner,Male,38,7,9828,117941,3,1,No,10,3,22,Yes
EMP-30011,Product,Product Manager,Female,54,21,4001,48023,4,1,No,6,4,3,Yes
EMP-30012,Engineering,DevOps Engineer,Male,38,1,8321,99854,4,3,No,21,4,26,No
EMP-30013,Finance,Accountant,Male,59,1,6559,78708,4,3,No,32,4,45,No
EMP-30014,Engineering,Software Engineer,Female,43,21,12935,155231,3,3,Yes,37,5,32,No
EMP-30015,Finance,Accountant,Non-Binary,46,12,8398,100780,3,4,Yes,9,2,25,No
EMP-30016,Engineering,Engineering Lead,Non-Binary,30,3,12961,155539,3,4,Yes,56,2,36,Yes
EMP-30017,Marketing,Growth Marketer,Non-Binary,39,15,13608,163299,4,3,Yes,18,5,2,Yes
EMP-30018,Engineering,QA Specialist,Non-Binary,59,25,7274,87290,4,3,No,24,1,38,No
EMP-30019,Engineering,QA Specialist,Female,58,24,4271,51262,5,2,No,13,5,16,No
EMP-30020,Engineering,Engineering Lead,Female,35,11,4364,52378,4,2,Yes,13,4,32,Yes
